specimen_id,taxon_id,repository_id,catalogue_number,element,locality_id,geological_unit_id,collection_event_id,collector,collection_date,type_status,figured_status,identification_confidence,provenance_confidence,disposition_status,photograph_available,3d_available,primary_publication_id,source_url,notes
WPR-SP-0012,WPR-TAX-0012,WPR-REP-0001,NMW 77.11G.19,,WPR-LOC-0008,WPR-GEO-0001,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=57,Direct Museum Wales holotype record.
WPR-SP-0013,WPR-TAX-0013,WPR-REP-0001,NMW 78.17G.1174,,WPR-LOC-0004,WPR-GEO-0009,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=74,Direct Museum Wales holotype record.
WPR-SP-0014,WPR-TAX-0014,WPR-REP-0001,NMW 29.197.G3,,WPR-LOC-0004,,,,,Holotype,Unknown,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=22,Roof of thin seam above Hwch Vein; create a dedicated geological-unit record if this seam-level information becomes a recurring unit.
WPR-SP-0015,WPR-TAX-0015,WPR-REP-0001,NMW 29.197.G2,,WPR-LOC-0004,WPR-GEO-0010,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=21,Direct Museum Wales holotype record.
WPR-SP-0016,WPR-TAX-0016,WPR-REP-0001,NMW 78.8G.1,,WPR-LOC-0004,WPR-GEO-0009,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=77,Direct Museum Wales holotype record.
WPR-SP-0017,WPR-TAX-0017,WPR-REP-0001,NMW 21.306.G4 a&b,,WPR-LOC-0004,WPR-GEO-0006,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=7,Direct Museum Wales holotype record.
WPR-SP-0018,WPR-TAX-0018,WPR-REP-0001,NMW 2015.5G.1–2015.5G.11,associated partial skeleton: skull and postcranial elements,WPR-LOC-0012,WPR-GEO-0014,,Nick Hanigan; Rob Hanigan,2014-03-01,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,WPR-PUB-0001,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0145713,Recovered from fallen blocks; paper constrains source to bed 7 or 9 of Bull Cliff Member.
WPR-SP-0019,WPR-TAX-0019,WPR-REP-0002,PV R 37591,"articulated vertebral series, pelvic girdle and associated femur",WPR-LOC-0009,WPR-GEO-0011,,,,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,WPR-PUB-0002,https://pmc.ncbi.nlm.nih.gov/articles/PMC8493203/,Primary description gives field numbers P77/1 and P76/1.
WPR-SP-0020,WPR-TAX-0019,WPR-REP-0002,PV R 37596,complete middle-to-posterior dorsal vertebra,WPR-LOC-0009,WPR-GEO-0011,,,,Referred,Yes,A,A,Museum accessioned,Yes,Unknown,WPR-PUB-0002,https://pmc.ncbi.nlm.nih.gov/articles/PMC8493203/,"Referred specimen, field number P83/1."
WPR-SP-0021,WPR-TAX-0019,WPR-REP-0002,PV R 37597,proximal end of left ischium,WPR-LOC-0009,WPR-GEO-0011,,,,Referred,Yes,A,A,Museum accessioned,Yes,Unknown,WPR-PUB-0002,https://pmc.ncbi.nlm.nih.gov/articles/PMC8493203/,"Referred specimen, field number P65/66b. Counterpart P65/66a is reported as absent from NHMUK."
WPR-SP-0022,WPR-TAX-0020,WPR-REP-0002,PV R 37423,left humerus proximal end,WPR-LOC-0009,WPR-GEO-0011,,,,Paratype,Unknown,A,A,Museum accessioned,Unknown,Unknown,WPR-PUB-0003,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/9063995,Direct NHMUK record; Rhaetian fissure-fill specimen.
WPR-SP-0023,WPR-TAX-0021,WPR-REP-0002,PV R 7557 d,"right astragalus, calcaneum and distal tarsal 4",WPR-LOC-0009,WPR-GEO-0011,,Professor K. Kermack; Dr P. Robinson,1952-06-27,Holotype,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://portal.idigbio.org/portal/records/200a0899-fc69-4967-95e6-839825bdd295,Provider record is NHMUK; use NHMUK portal/current record as preferred source when located.
WPR-SP-0024,WPR-TAX-0022,WPR-REP-0002,PV RUT 871,premaxilla,WPR-LOC-0015,WPR-GEO-0012,,Professor Kenneth A. Kermack,1955-01-01,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/2169657,"Direct NHMUK record: non-type Gephyrosaurus bridensis premaxilla; Pant Quarry, Hettangian–Sinemurian fissure fill."
WPR-SP-0025,WPR-TAX-0022,WPR-REP-0002,PV RUT 3164,quadrate,WPR-LOC-0015,WPR-GEO-0012,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/9631007/1787475689135,"Direct NHMUK record: non-type Gephyrosaurus bridensis quadrate; Pant Quarry, Hettangian–Sinemurian fissure fill."
WPR-SP-0026,WPR-TAX-0023,WPR-REP-0002,PV M 116443,dentulous maxilla fragment with two molars,WPR-LOC-0010,WPR-GEO-0012,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/10668072/1748251284062,NHMUK determination explicitly lists Morganucodon watsoni.
WPR-SP-0027,WPR-TAX-0027,WPR-REP-0002,PV M 94404,,WPR-LOC-0010,WPR-GEO-0012,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/2943623,Record identified to genus Morganucodon.
WPR-SP-0028,WPR-TAX-0027,WPR-REP-0002,PV M 94488,,WPR-LOC-0010,WPR-GEO-0012,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/2943707,Record identified to genus Morganucodon.
WPR-SP-0029,WPR-TAX-0027,WPR-REP-0002,PV M 23889,,WPR-LOC-0010,WPR-GEO-0012,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/569168/1787475689135,Record identified to genus Morganucodon.
WPR-SP-0030,WPR-TAX-0027,WPR-REP-0002,PV M 23695,,WPR-LOC-0010,WPR-GEO-0012,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/568974/1771927275455,Record identified to genus Morganucodon.
WPR-SP-0031,WPR-TAX-0027,WPR-REP-0002,PV M 24577,,WPR-LOC-0010,WPR-GEO-0012,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/570077/1787821283754,Record identified to genus Morganucodon.
WPR-SP-0032,WPR-TAX-0027,WPR-REP-0002,PV M 93173,,WPR-LOC-0010,WPR-GEO-0012,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/2933375,Record identified to genus Morganucodon.
WPR-SP-0033,WPR-TAX-0024,WPR-REP-0002,PB V 26517 b,axes,WPR-LOC-0011,WPR-GEO-0013,,W. N. Croft,,Syntype,Unknown,A,A,Museum accessioned,Unknown,Unknown,WPR-PUB-0004,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/2156242/1787130104391,Direct NHMUK syntype record.
WPR-SP-0034,WPR-TAX-0025,WPR-REP-0001,33.153/1307,tusk fragment,WPR-LOC-0013,,,,1933-01-01,Non-type,Unknown,B,A,Museum accessioned,Unknown,Unknown,,https://museum.wales/collections/online/object/901dd77f-3b5b-3551-bf55-15eacf5d3d6a/Pleistocene-mammoth-tusk/,"Museum Wales record; excavated 1933, reconstructed fragment."
WPR-SP-0035,WPR-TAX-0026,WPR-REP-0001,46.251/1,complete adult lower molar,WPR-LOC-0014,,,,,Possible syntype,Unknown,B,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/collections/online/object/64356b6d-ccc4-3f5b-80ca-735b0c9ad104/Pleistocene-straight-tusked-elephant-tooth/,Museum note says probably one of original syntypes of P. antiquus; manuscript label lost; part of Col. E.R. Wood collection.
WPR-SP-0036,WPR-TAX-0025,WPR-REP-0001,57.524/20.14,bone,WPR-LOC-0016,,,,,Non-type,Unknown,B,A,Museum accessioned,Unknown,Unknown,,https://museum.wales/collections/online/object/6b48fc3f-0f31-3b2a-a989-07d33626c4d7/Pleistocene-mammoth-bone/,Museum Wales classification is mammoth bone; transferred in 1957.
WPR-SP-0037,WPR-TAX-0028,WPR-REP-0001,NMW 69.64.G32 a+b,,WPR-LOC-0004,WPR-GEO-0015,,,,Holotype,Yes,A,B,Museum accessioned,Yes,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=30,"Museum Wales holotype; Long Quarry Beds, Přídolí."
WPR-SP-0038,WPR-TAX-0029,WPR-REP-0001,NMW 96.8G.109,,WPR-LOC-0004,WPR-GEO-0004,,,,Holotype,Yes,A,B,Museum accessioned,Yes,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=141,Museum Wales holotype; Golden Grove Group.
WPR-SP-0039,WPR-TAX-0030,WPR-REP-0001,NMW 78.17G.161,,WPR-LOC-0004,WPR-GEO-0009,,,,Holotype,Yes,A,B,Museum accessioned,Yes,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=71,"Museum Wales holotype; Ogof Hên Formation, Bolahaul Member."
WPR-SP-0040,WPR-TAX-0031,WPR-REP-0001,NMW 82.7G.1,,WPR-LOC-0001,WPR-GEO-0016,,,,Holotype,Yes,A,B,Museum accessioned,Yes,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=80,Museum Wales holotype; Rhaetian Penarth Group.
WPR-SP-0041,WPR-TAX-0032,WPR-REP-0001,NMW 84.16G.17,,WPR-LOC-0042,WPR-GEO-0017,,,,Holotype,Yes,A,B,Museum accessioned,Yes,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=10238,Museum Wales holotype; Radnorshire.
WPR-SP-0042,WPR-TAX-0033,WPR-REP-0001,NMW 79.35G.1,,WPR-LOC-0042,,,,,Holotype,Yes,A,B,Museum accessioned,Yes,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=79,"Museum Wales holotype; Llandeilo Series, Teretiusculus biozone."
WPR-SP-0043,WPR-TAX-0034,WPR-REP-0001,NMW 88.9G.1.1 a,,WPR-LOC-0004,WPR-GEO-0018,,,,Holotype,Yes,A,B,Museum accessioned,Yes,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=118,Museum Wales holotype; Lower Devonian Senni Beds Formation.
WPR-SP-0044,WPR-TAX-0035,WPR-REP-0001,NMW 77.6G.2,,WPR-LOC-0005,WPR-GEO-0019,,,,Holotype,Yes,A,B,Museum accessioned,Yes,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=68,Museum Wales holotype; Milford Haven Group.
WPR-SP-0045,WPR-TAX-0036,WPR-REP-0001,NMW 77.6G.34,,WPR-LOC-0005,WPR-GEO-0019,,,,Holotype,Yes,A,B,Museum accessioned,Yes,Unknown,,https://museum.wales/database/geology/palaeontology/?count=2&position=0&specimen=69&value=Cooksonia+cambrensis,Museum Wales holotype. Published registration was misquoted as 77.6G.33 in Edwards (1979).
WPR-SP-0046,WPR-TAX-0037,WPR-REP-0001,NMW 00.17G.2,,WPR-LOC-0043,WPR-GEO-0021,,C. Conolly,,Paratype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000146,GB3D paratype; Mydrim Shale Formation.
WPR-SP-0047,WPR-TAX-0038,WPR-REP-0001,NMW 90.44G.4,,WPR-LOC-0018,WPR-GEO-0020,,T.P. Crimes,,Paratype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000225,GB3D paratype; Aberystwyth Grits Formation.
WPR-SP-0048,WPR-TAX-0039,WPR-REP-0001,NMW 76.3G.9,,WPR-LOC-0019,WPR-GEO-0009,,,,Paratype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000178,"GB3D paratype; Bolahaul Member, Ogof Hên Formation."
WPR-SP-0049,WPR-TAX-0040,WPR-REP-0001,NMW 33.189.G102,,WPR-LOC-0020,WPR-GEO-0006,,D.C. Evans,,Paratype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001050,GB3D paratype; Pontyfenni Formation.
WPR-SP-0050,WPR-TAX-0041,WPR-REP-0001,NMW 96.8G.953,,WPR-LOC-0021,WPR-GEO-0023,,M.D. Sutton,,Paratype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001233,GB3D paratype; Llanfawr Mudstone Formation.
WPR-SP-0051,WPR-TAX-0042,WPR-REP-0001,NMW 72.6G.4,,WPR-LOC-0022,WPR-GEO-0024,,,,Paratype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001122,"GB3D paratype; Glyn Member, Trewern Brook Mudstone Formation."
WPR-SP-0052,WPR-TAX-0043,WPR-REP-0001,NMW 84.17G.22,,WPR-LOC-0023,WPR-GEO-0025,,R.A. Fortey,,Paratype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000514,GB3D paratype; Llanfallteg Formation.
WPR-SP-0053,WPR-TAX-0044,WPR-REP-0001,NMW 84.11G.14,,WPR-LOC-0020,WPR-GEO-0006,,J.C.W. Cope,,Paratype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000457,GB3D paratype; Pontyfenni Formation.
WPR-SP-0054,WPR-TAX-0016,WPR-REP-0001,NMW 78.8G.30,,WPR-LOC-0044,WPR-GEO-0009,,,,Paratype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001116,GB3D paratype of Blastoidocrinus antecedens.
WPR-SP-0055,WPR-TAX-0036,WPR-REP-0001,NMW 77.6G.10,,WPR-LOC-0017,WPR-GEO-0019,,,,Paratype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001094,GB3D paratype of Cooksonia cambrensis.
WPR-SP-0056,WPR-TAX-0036,WPR-REP-0001,NMW 77.6G.13,,WPR-LOC-0017,WPR-GEO-0019,,,,Paratype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000618,GB3D currently files the specimen as Cooksonia cambrensis; name history also references Tortilicaulis transwalliensis.
WPR-SP-0057,WPR-TAX-0035,WPR-REP-0001,NMW 77.6G.1,,WPR-LOC-0017,WPR-GEO-0019,,,,Paratype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000615,GB3D paratype of Tortilicaulis transwalliensis.
WPR-SP-0058,WPR-TAX-0045,WPR-REP-0005,SM A 44425,,WPR-LOC-0024,WPR-GEO-0028,,A. Sedgwick; J.W. Salter,1843,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001999,GB3D Sedgwick Museum holotype.
WPR-SP-0059,WPR-TAX-0046,WPR-REP-0005,SM A 4695,part and counterpart,WPR-LOC-0025,WPR-GEO-0026,,J. Hopkinson,,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20000359,GB3D Sedgwick Museum holotype.
WPR-SP-0060,WPR-TAX-0047,WPR-REP-0005,SM A 40229,,WPR-LOC-0026,WPR-GEO-0027,,,,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001829,GB3D Sedgwick Museum holotype.
WPR-SP-0061,WPR-TAX-0048,WPR-REP-0005,SM A 46897,,WPR-LOC-0027,WPR-GEO-0029,,,,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20002314,GB3D Sedgwick Museum holotype.
WPR-SP-0062,WPR-TAX-0049,WPR-REP-0005,SM A 1051,,WPR-LOC-0028,WPR-GEO-0030,,,,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20000154,GB3D Sedgwick Museum holotype.
WPR-SP-0063,WPR-TAX-0050,WPR-REP-0005,SM A 25011,,WPR-LOC-0029,WPR-GEO-0028,,W.G. Fearnsides; T.O. Morris,,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001254,GB3D Sedgwick Museum holotype.
WPR-SP-0064,WPR-TAX-0051,WPR-REP-0005,SM A 37755,,WPR-LOC-0030,WPR-GEO-0031,,,,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001882,GB3D Sedgwick Museum holotype.
WPR-SP-0065,WPR-TAX-0052,WPR-REP-0005,SM A 15035 a-e,,WPR-LOC-0031,WPR-GEO-0032,,,,Holotype,Yes,B,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001019,GB3D Sedgwick Museum holotype; nomenclatural status should be checked.
WPR-SP-0066,WPR-TAX-0053,WPR-REP-0005,SM A 51439,,WPR-LOC-0032,WPR-GEO-0033,,,,Holotype,Yes,B,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20002150,GB3D Sedgwick Museum holotype; current taxonomic rank should be checked.
WPR-SP-0067,WPR-TAX-0054,WPR-REP-0006,BGS GSM48528Cprt,,WPR-LOC-0033,WPR-GEO-0034,,British Geological Survey,1902,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=117893,"GB3D BGS holotype; roof of Mynyddislwyn Seam, Tenuis Zone."
WPR-SP-0068,WPR-TAX-0055,WPR-REP-0006,BGS GSM48523Cprt,,WPR-LOC-0034,WPR-GEO-0034,,British Geological Survey,1902,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=117889,GB3D lists this as holotype of Euproops gwenti.
WPR-SP-0069,WPR-TAX-0055,WPR-REP-0006,BGS GSM48524Cprt,,WPR-LOC-0034,WPR-GEO-0034,,British Geological Survey,1902,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=117890,GB3D also lists this as holotype of Euproops gwenti; verify type-series relationship.
WPR-SP-0070,WPR-TAX-0056,WPR-REP-0006,BGS GSM49398,,WPR-LOC-0035,WPR-GEO-0035,,survey,1909,Holotype,Yes,A,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=60252,GB3D BGS holotype; Carboniferous Limestone Supergroup.
WPR-SP-0071,WPR-TAX-0057,WPR-REP-0007,CHEGM 1977.22AH (A),,WPR-LOC-0036,WPR-GEO-0036,,J.B. Shone,,Holotype,Yes,B,A,Museum accessioned,Yes,Unknown,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=25000109,GB3D Grosvenor Museum holotype; accepted taxonomy/authorship needs checking.
WPR-SP-0072,WPR-TAX-0058,WPR-REP-0002,PI BC 61751,hand specimen,WPR-LOC-0017,WPR-GEO-0022,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/3098401,NHMUK Stegerhynchus record; Silurian Sandstone Series.
WPR-SP-0073,WPR-TAX-0059,WPR-REP-0002,PI It 26527 a,,WPR-LOC-0037,WPR-GEO-0037,,R. Bettley,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/2046432,NHMUK Marrolithus inflatus; Middle Ordovician Flags.
WPR-SP-0074,WPR-TAX-0027,WPR-REP-0002,PV M 95050,,WPR-LOC-0038,WPR-GEO-0038,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/2944269,NHMUK Morganucodon from Pontalun 2 fissure.
WPR-SP-0075,WPR-TAX-0027,WPR-REP-0002,PV M 27234,,WPR-LOC-0038,WPR-GEO-0038,,Kenneth A. Kermack,1957-01-01,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/2813733,NHMUK Morganucodon from Pontalun 2 fissure.
WPR-SP-0076,WPR-TAX-0027,WPR-REP-0002,PV M 95815,,WPR-LOC-0039,WPR-GEO-0038,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/2945034,NHMUK Morganucodon from Pontalun 3 fissure.
WPR-SP-0077,WPR-TAX-0027,WPR-REP-0002,PV M 100043,,WPR-LOC-0039,WPR-GEO-0038,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/6722762,NHMUK Morganucodon from Pontalun 3 fissure.
WPR-SP-0078,WPR-TAX-0023,WPR-REP-0002,PV M 96265,,WPR-LOC-0039,WPR-GEO-0038,,,,Non-type,Unknown,A,A,Museum accessioned,Unknown,Unknown,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/3071376/1787821283754,NHMUK record explicitly determined as Morganucodon watsoni.
WPR-SP-0079,WPR-TAX-0023,WPR-REP-0002,PV M 24590,dentary,WPR-LOC-0038,WPR-GEO-0038,,Kenneth A. Kermack,1957-12-01,Non-type,Unknown,A,A,Museum accessioned,Yes,Unknown,,https://data.nhm.ac.uk/object/07d0d854-9e15-44d6-bb76-77ebb33b8180,NHMUK Morganucodon watsoni; Hettangian–Sinemurian fissure-fill record with IIIF images.
WPR-SP-0080,WPR-TAX-0072,WPR-REP-0001,81.84H/2.768,ascending ramus from mandible,WPR-LOC-0013,,,,1963-01-01,Non-type,Unknown,B,A,Museum accessioned,Unknown,Unknown,,https://museum.wales/collections/online/object/8f4120f0-158e-3b11-805c-30ca85fe8dae/Pleistocene-bovid-or-cervid-bone/,Coygan Cave; identified by Roger Jacobi as bovid/cervid.
